dataset,model,time,LR,batch_size,best_last_RMSE,best_overall_RMSE,score,windowsize,d_model,dropout,kernal_size,kernal_stride,train,total_params,train_average_time,test_average_time,savepath,resume,resumepath,info
40,CDSG,20251114-092710,5e-05,32,0.55371244314755,0.55371244314755,0.12063758728253075,50,64,0.1,3,1,True,441553,99.160487351879,1.623826265335083,./logs/40/CDSG/exp0,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-095250,5e-05,32,11.43489899315629,11.43489899315629,548.852097687392,60,64,0.1,3,1,True,3550,29.330582418749408,0.08901739120483398,./logs/FD002/DA_LSTM/exp9,False,,DA_LSTM baseline 
40,CDSG,20251114-100149,1e-05,32,0.27679940742266784,0.27679940742266784,0.2731834703474149,50,64,0.1,3,1,True,441553,100.12659743853978,1.7885611057281494,./logs/40/CDSG/exp1,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-111551,1e-05,32,11.647443284261888,11.647443284261888,570.2043858470167,60,64,0.1,3,1,True,3550,30.361497225761415,0.08497357368469238,./logs/FD002/DA_LSTM/exp10,False,,DA_LSTM baseline 
40,CDSG,20251114-122848,1e-06,32,0.2619538476779128,0.2619538476779128,0.299467383016429,50,64,0.1,3,1,True,441553,101.12944942865616,1.653106927871704,./logs/40/CDSG/exp2,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-124030,1e-06,32,22.403538570047203,22.403538570047203,3074.8313436675508,60,64,0.1,3,1,True,3550,30.887351945241292,0.08663415908813477,./logs/FD002/DA_LSTM/exp11,False,,DA_LSTM baseline 
40,CDSG,20251114-125741,5e-05,32,0.379187502271352,0.379187502271352,0.20206821343280781,60,64,0.1,3,1,True,441553,99.83093290328979,1.710972547531128,./logs/40/CDSG/exp3,False,,XJTU baseline n_feature 40 sample 10 s 10
FD003,DA_LSTM,20251114-130426,0.0001,32,13.75491501107361,13.75491501107361,882.5431930497447,40,64,0.1,3,1,True,3550,15.456805359749566,0.032262563705444336,./logs/FD003/DA_LSTM/exp0,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-134033,5e-05,32,13.828661094013729,13.828661094013729,862.6782635214414,40,64,0.1,3,1,True,3550,15.7167236085922,0.03376054763793945,./logs/FD003/DA_LSTM/exp1,False,,DA_LSTM baseline 
40,CDSG,20251114-140611,1e-05,32,0.42526456252514494,0.42526456252514494,0.1687713813770984,60,64,0.1,3,1,True,441553,105.10467267036438,1.704401969909668,./logs/40/CDSG/exp4,False,,XJTU baseline n_feature 40 sample 10 s 10
FD003,DA_LSTM,20251114-142243,1e-05,32,19.320017146713653,19.320017146713653,2413.992896260221,40,64,0.1,3,1,True,3550,15.422687203089396,0.036414146423339844,./logs/FD003/DA_LSTM/exp2,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-150544,1e-06,32,39.216613327077205,39.216613327077205,19010.38860840538,40,64,0.1,3,1,True,3550,15.733631037076314,0.03355002403259277,./logs/FD003/DA_LSTM/exp3,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-152100,0.0001,32,13.839714108422701,13.839714108422701,839.0680187490636,50,64,0.1,3,1,True,3550,15.486160728166688,0.03506183624267578,./logs/FD003/DA_LSTM/exp4,False,,DA_LSTM baseline 
40,CDSG,20251114-153910,1e-06,32,0.2679887256943272,0.2679887256943272,0.2955043637772249,60,64,0.1,3,1,True,441553,102.74440051139669,1.6276631355285645,./logs/40/CDSG/exp5,False,,XJTU baseline n_feature 40 sample 10 s 10
FD003,DA_LSTM,20251114-154644,5e-05,32,14.262590932201459,14.262590932201459,877.09715139008,50,64,0.1,3,1,True,3550,14.905565081758702,0.03373456001281738,./logs/FD003/DA_LSTM/exp5,False,,DA_LSTM baseline 
40,CDSG,20251114-162615,5e-05,32,0.5570253172252159,0.5570253172252159,0.11276928849403063,80,64,0.1,3,1,True,441553,117.39114365312788,1.8580706119537354,./logs/40/CDSG/exp6,False,,XJTU baseline n_feature 40 sample 10 s 10
